
<2017-11-20 10:03:25.498673> <('127.0.0.1', 37778)><1>
<2017-11-20 10:03:30.504527> <('127.0.0.1', 37778)><1>
<2017-11-20 10:03:35.510184> <('127.0.0.1', 37778)><1>
<2017-11-20 10:03:40.515840> <('127.0.0.1', 37778)><0>
<2017-11-20 10:03:45.519630> <('127.0.0.1', 37778)><1>
<2017-11-20 10:03:50.525423> <('127.0.0.1', 37778)><0>
<2017-11-20 10:03:55.531509> <('127.0.0.1', 37778)><1>
<2017-11-20 10:04:00.533276> <('127.0.0.1', 37778)><1>
<2017-11-20 10:04:05.539215> <('127.0.0.1', 37778)><1>
<2017-11-20 10:04:10.544440> <('127.0.0.1', 37778)><1>
<2017-11-20 10:04:15.550275> <('127.0.0.1', 37778)><0>
<2017-11-20 10:04:20.555882> <('127.0.0.1', 37778)><1>
<2017-11-20 10:04:25.557086> <('127.0.0.1', 37778)><0>
<2017-11-20 10:04:30.560097> <('127.0.0.1', 37778)><1>
<2017-11-20 10:04:35.562936> <('127.0.0.1', 37778)><0>
<2017-11-20 10:04:40.565662> <('127.0.0.1', 37778)><0>
<2017-11-20 10:04:45.571673> <('127.0.0.1', 37778)><0>
<2017-11-20 10:04:50.577591> <('127.0.0.1', 37778)><0>
<2017-11-20 10:04:55.579726> <('127.0.0.1', 37778)><1>
<2017-11-20 10:05:00.583699> <('127.0.0.1', 37778)><0>
<2017-11-20 10:05:05.587747> <('127.0.0.1', 37778)><0>
<2017-11-20 10:09:50.496775> <('127.0.0.1', 37832)><1>
<2017-11-20 10:13:06.684876> <('127.0.0.1', 37844)><0>
<2017-11-20 10:13:11.686385> <('127.0.0.1', 37844)><0>
<2017-11-20 10:13:16.688512> <('127.0.0.1', 37844)><0>
<2017-11-20 10:13:21.690475> <('127.0.0.1', 37844)><0>
<2017-11-20 10:13:26.692773> <('127.0.0.1', 37844)><1>
<2017-11-20 10:13:31.694858> <('127.0.0.1', 37844)><1>
<2017-11-20 10:13:36.696667> <('127.0.0.1', 37844)><0>
<2017-11-20 10:13:41.702742> <('127.0.0.1', 37844)><0>
<2017-11-20 10:13:46.709158> <('127.0.0.1', 37844)><0>
<2017-11-20 10:13:51.715282> <('127.0.0.1', 37844)><0>
<2017-11-20 10:13:56.721316> <('127.0.0.1', 37844)><1>
<2017-11-20 10:14:01.727396> <('127.0.0.1', 37844)><0>
<2017-11-20 10:14:06.729781> <('127.0.0.1', 37844)><1>
<2017-11-20 10:14:11.734621> <('127.0.0.1', 37844)><0>
